Группа;Название;Количество;Цена;Себестоимость
Бенто ланч СБ;/Магуро фреш1\2;150;87;24,19
Бенто ланч СБ;/Суп рамен с курицей бэнто;385,5;185;81,55
Бенто ланч СБ;/Чикен чукка1\2;131;97;15,92
Бенто ланч СБ;/Сяке дон бэнто;61;215;80,18
Бенто ланч СБ;/Бутанику Гратен бэнто;39;285;81,49
Бенто ланч СБ;/Ояко Дон бэнто;49;175;70,85
Бенто ланч СБ;/Куриный рулет бэнто;30;285;116
Бенто ланч СБ;/Тяхан тори бэнто;85;195;41,81
Бенто ланч СБ;/Куриные палочки спайси бэнто;6;210;60,11
Бенто ланч СБ;/Суп рамен со свининой бэнто;59;195;81,58
Бенто ланч СБ;/Эби ясай пан бэнто;15;395;117,65
Бенто ланч СБ;/Тори Тонкацу бэннто;32;260;78,25
Бенто ланч СБ;/Суп рамен с семгой бэнто;68;230;83,97
Бенто ланч СБ;/Катсу дон бэнто;14;195;56,18
Бенто ланч СБ;/Тори Терияки бэнто;12;235;95,95
Бенто ланч СБ;Бэнто ланч СБ;1 083,50;0;0
Бенто ланч СБ;/Мен пан бэнто;52;245;78,17
Бенто ланч СБ;/Сэйк темпура бэнто;7;380;173,19
Бенто ланч СБ;/Темпура пай1\2;356;90;15,08
Вьетнамская кухня;/Соба тит бо;96;180;57,26
Вьетнамская кухня;/Хой кату;32;195;62,52
Вьетнамская кухня;/Суп Тит-лон ми;29;195;31,58
Вьетнамская кухня;/Салмон-баске;35;295;134,75
Вьетнамская кухня;/Нэм тори;39;230;53,88
Вьетнамская кухня;/Нэм нику;11;245;28,49
Горячее;/Кесадилья со свининой;93;280;99,57
Горячее;/Стейк из тунца;236;330;148,54
Горячее;/Эби ясай пан;125;392,67;109,66
Горячее;/Хот тори фри;9;270;85,46
Горячее;/Тори фри;10;285;75,16
Горячее;/Тяхан тори;542;195;32,87
Горячее;/Тори Терияки;173,5;235;84,6
Горячее;/Гохан ран;311;105;13,85
Горячее;/Мен пан;376;245;75,12
Горячее;/Катсу дон;79;195;54,54
