Группа;Название;Количество;Цена;Себестоимость
Бенто ланч СБ;/Магуро фреш1\2;150,000;87,00;24,19
Бенто ланч СБ;/Суп рамен с курицей бэнто;385,500;185,00;81,55
Бенто ланч СБ;/Чикен чукка1\2;131,000;97,00;15,92
Бенто ланч СБ;/Сяке дон бэнто;61,000;215,00;80,18
Бенто ланч СБ;/Бутанику Гратен бэнто;39,000;285,00;81,49
Бенто ланч СБ;/Ояко Дон бэнто;49,000;175,00;70,85
Бенто ланч СБ;/Куриный рулет бэнто;30,000;285,00;116,00
Бенто ланч СБ;/Тяхан тори бэнто;85,000;195,00;41,81
Бенто ланч СБ;/Куриные палочки спайси бэнто;6,000;210,00;60,11
Бенто ланч СБ;/Суп рамен со свининой бэнто;59,000;195,00;81,58
Бенто ланч СБ;/Эби ясай пан бэнто;15,000;395,00;117,65
Бенто ланч СБ;/Тори Тонкацу бэннто;32,000;260,00;78,25
Бенто ланч СБ;/Суп рамен с семгой бэнто;68,000;230,00;83,97
Бенто ланч СБ;/Катсу дон бэнто;14,000;195,00;56,18
Бенто ланч СБ;/Тори Терияки бэнто;12,000;235,00;95,95
Бенто ланч СБ;Бэнто ланч СБ;1 083,500;0,00;0,00
Бенто ланч СБ;/Мен пан бэнто;52,000;245,00;78,17
Бенто ланч СБ;/Сэйк темпура бэнто;7,000;380,00;173,19
Бенто ланч СБ;/Темпура пай1\2;356,000;90,00;15,08
Вьетнамская кухня;/Соба тит бо;96,000;180,00;57,26
Вьетнамская кухня;/Хой кату;32,000;195,00;62,52
Вьетнамская кухня;/Суп Тит-лон ми;29,000;195,00;31,58
Вьетнамская кухня;/Салмон-баске;35,000;295,00;134,75
Вьетнамская кухня;/Нэм тори;39,000;230,00;53,88
Вьетнамская кухня;/Нэм нику;11,000;245,00;28,49
Горячее;/Кесадилья со свининой;93,000;280,00;99,57
Горячее;/Стейк из тунца;236,000;330,00;148,54
Горячее;/Эби ясай пан;125,000;392,67;109,66
Горячее;/Хот тори фри;9,000;270,00;85,46
Горячее;/Тори фри;10,000;285,00;75,16
Горячее;/Тяхан тори;542,000;195,00;32,87
Горячее;/Тори Терияки;173,500;235,00;84,60
Горячее;/Гохан ран;311,000;105,00;13,85
Горячее;/Мен пан;376,000;245,00;75,12
Горячее;/Катсу дон;79,000;195,00;54,54
Горячее;/Куриный рулет;387,000;285,00;104,78
Горячее;/Тори карри;28,000;235,00;61,62
Горячее;/Тори Тонкацу;226,000;260,00;68,53
Горячее;/Сяке дон;95,000;215,00;83,47
Горячее;/Ояко Дон;307,000;175,00;59,86
Горячее;/Кесадилья с овощами;70,000;245,00;81,28
Горячее;/Тяхан с овощами (ясай);155,000;145,00;18,95
Горячее;/Гохан;134,500;65,00;4,43
Горячее;/Бутанику Гратен;332,000;285,00;79,65
Горячее;/Сэйк темпура;97,000;380,00;188,24
Горячее;/Кесадилья с курицей;254,000;265,00;84,83
Горячее;/Куриные палочки спайси;103,000;210,00;53,71
Горячее;/Шашлыки из скумбрии в соусе унаги СБ;9,000;245,00;61,23
Горячее;/Сяке тидзу СБ;46,000;339,00;126,64
Десерты;/Кудамоно;66,000;180,00;47,05
Десерты;/Сладкий миндаль;553,000;190,00;47,12
Десерты;/Сливочный пломбир с топпингом ;324,500;150,00;37,61
Десерты;/Десерт Пабана;186,000;220,00;108,00
Десерты;/Райс Фрут;114,000;180,00;40,10
Десерты;/Чакин фрут ;543,000;190,00;38,95
Десерты;/Тайские блинчики;256,000;170,00;42,52
Десерты;/Шоко-Берри;351,000;180,00;77,04
Десерты;/Десерт Морковный кейк;260,000;169,85;65,09
Десерты;/Шокомания;695,000;255,00;81,93
Десерты;/Десерт Чизкейк Смородина;326,000;179,91;77,50
Десерты;/Майами ролл;229,000;170,00;31,46
Десерты;/Десерт Брауни;345,000;189,77;68,60
Десерты;/Десерт Чизкейк Нью-Йорк;610,000;179,34;76,01
Десерты;/Шоко-Оранж;204,000;180,00;51,03
Десерты;/Пабана*;1,000;108,00;108,00
Десерты;/Брауни*;3,000;68,80;68,80
